College_Name,Districts,States,Ownership,Fees,Btech_Courses,Mtech_Courses,Rating
"ADYPU, Pune - Ajeenkya DY Patil University, Pune",Pune, Maharashtra,Private,Null,B.E /B.Tech (15 Courses),Null,3.9/5
"AJ Institute of Engineering and Technology, Mangalore",Mangalore, Karnataka,Private,Null,B.E /B.Tech (8 Courses),Null,Null
"Ajitdada Pawar College of Polytechnic, Ahmednagar",Ahmednagar, Maharashtra,Private,Null,Null,Null,Null
"AJK College of Arts and Science, Coimbatore",Coimbatore, Tamil Nadu,Private,Null,Null,Null,Null
"Ajmer Institute of Technology, Ajmer",Ajmer, Rajasthan,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),3.8/5
"New Arts College Ahmednagar - AJMVP New Arts Commerce and Science College, Ahmednagar",Ahmednagar, Maharashtra,Private,   7.74 K,Null,Null,4.8/5
"Akal College of Agriculture, Sirmour",Baru Sahib, Himachal Pradesh,Private,   2.45 L,Null,Null,Null
"Akal College of Engineering and Technology, Sirmour",Baru Sahib, Himachal Pradesh,Private,   4.37 L,B.E /B.Tech (2 Courses),Null,Null
"Akal University, Bathinda",Talwandi Sabo, Punjab,Private,   3.72 L,Null,Null,3.5/5
"Akash Global College of Management and Science, Bengaluru",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Akash Institute of Engineering and Technology, Bengaluru",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Akash Institute of Technology, Kanina",Kanina, Haryana,Private,Null,Null,Null,Null
"Akido College of Engineering, Bahadurgarh",Bahadurgarh, Haryana,Private,Null,B.E /B.Tech (4 Courses),Null,4.0/5
"Aklia Educational and Research Society Group of Institutions, Bathinda",Goniana, Punjab,Private,Null,B.E /B.Tech (4 Courses),Null,Null
"Aklia Polytechnic College, Bathinda",Goniana, Punjab,Private,Null,Null,Null,Null
"AKM Polytechnic College, Kollam",Kollam, Kerala,Private,   76.50 K,Null,Null,Null
"AKNM Government Polytechnic College, Tirurangadi",Malappuram, Kerala,Government,   10.15 K,Null,Null,Null
"Akole Taluka Education Society's Faculty of Polytechnic, Akole",Akole, Maharashtra,Private,   1.20 L,Null,Null,Null
"AKRG College of Engineering and Technology, Nallajerla",West Godavari, Andhra Pradesh,Private,Null,B.E /B.Tech (5 Courses),Null,Null
"Aksharaa Polytechnic, Bondapalli",Vizianagaram, Andhra Pradesh,Private,Null,Null,Null,Null
"Akshara Polytechnic College, Chilkur",Nalgonda, Telangana,Private,Null,Null,Null,Null
"Akshaya Bharathi Institute of Technology, Hyderabad",Hyderabad, Telangana,Private,Null,B.E /B.Tech (6 Courses),M.E /M.Tech. (6 Courses),Null
"Akshaya College of Engineering and Technology, Coimbatore",Coimbatore, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),M.E /M.Tech. (3 Courses),4.0/5
"Akshaya Institute of Technology, Tumkur",Chikkagundagal, Karnataka,Private,Null,B.E /B.Tech (7 Courses),Null,Null
